"Grant","Organization Name","Focus Area","Amount","Date"
"FAI Farms — Tilapia Welfare","FAI Farms","Farm Animal Welfare","$426,000","4/2019"
"Rita Allen Foundation — Fellowship Support","Rita Allen Foundation","Scientific Research","$495,000","4/2019"
"Working Families Party — Prosecutor Reforms in New York (2019)","Working Families Party","Criminal Justice Reform","$117,300","4/2019"
"Real Justice PAC — Criminal Justice Reform (April 2019)","Real Justice PAC","Criminal Justice Reform","$50,000","4/2019"
"World Animal Protection — Broiler Chicken Welfare (April 2019)","World Animal Protection","Farm Animal Welfare","$781,498","4/2019"
"Research Institute of Industrial Economics — Genomic Research Methods (2019)","Research Institute of Industrial Economics","Scientific Research","$1,500,000","4/2019"
"FAI Farms — Promoting Cage-Free Eggs in China","FAI Farms","Farm Animal Welfare","$107,200","4/2019"
"Photo Patch Foundation — General Support (2019)","Photo Patch Foundation","Criminal Justice Reform","$10,000","4/2019"
"Employ America — General Support (April 2019)","Employ America","Macroeconomic Stabilization Policy","$300,000","4/2019"
"Kyoto University — Research on Reproductive Biology (Mitinori Saitou)","Kyoto University","Scientific Research","$4,000,000","4/2019"
"Tampere University — Work on Global Catastrophic Risks","Tampere University","Global Catastrophic Risks","$15,000","4/2019"
"Compassion in World Farming — Farm Animal Welfare Advocacy in China (2019)","Compassion in World Farming","Farm Animal Welfare","$1,891,890","3/2019"
"Ayni Institute — Criminal Justice Reform Coaching (2019)","Ayni Institute","Criminal Justice Reform","$264,000","3/2019"
"VOCAL-NY Action Fund — Prosecutor Accountability","VOCAL-NY Action Fund","Criminal Justice Reform","$155,000","3/2019"
"Just Outcomes — Restorative Justice Convenings ","Just Outcomes","Criminal Justice Reform","$30,000","3/2019"
"Massachusetts Institute of Technology Media Lab — Kevin Esvelt's Research (2019)","Massachusetts Institute of Technology Media Lab","Global Catastrophic Risks","$1,000,000","3/2019"
"Soko Tierschutz — Factory Farm Investigations","Soko Tierschutz","Farm Animal Welfare","$100,000","3/2019"
"Evidence Action — Strengthen Operations (2019)","Evidence Action ","Global Health & Development","$7,751,915","3/2019"
"Evidence Action — Impact Evaluation of Iron and Folic Acid Supplementation (""Phase 2"")","Evidence Action","Global Health & Development","$800,000","3/2019"
"Center for Story-Based Strategy — General Support ","Center for Story-Based Strategy","Criminal Justice Reform","$100,000","3/2019"
"New York University — Work on Fish Welfare (2019)","New York University","Farm Animal Welfare","$125,840","3/2019"
"University of Michigan — Research on Mammalian Gamete Development (Sue Hammoud)","University of Michigan","Scientific Research","$2,500,000","3/2019"
"Schistosomiasis Control Initiative — General Support (2019)","Schistosomiasis Control Initiative","Global Health & Development","$2,500,000","3/2019"
"Court Watch NOLA — Public Relations Support","Court Watch NOLA","Criminal Justice Reform","$30,000","3/2019"
"ReFrame — SPIN Academy","ReFrame","Criminal Justice Reform","$45,000","3/2019"
"IDinsight — New Incentives RCT","IDinsight","Global Health & Development","$184,324","3/2019"
"Claremont Graduate University — Leafleting Study","Claremont Graduate University","Farm Animal Welfare","$57,000","3/2019"
"IDinsight — Beneficiary Preferences Survey","IDinsight ","Global Health & Development","$474,374","3/2019"
"Humane Slaughter Association — Wild-Caught Fish Welfare ","Humane Slaughter Association","Farm Animal Welfare","$570,402","3/2019"
"Center for Global Development — Labor Mobility Partnerships","Center for Global Development","Immigration Policy","$709,888","3/2019"
"Yale University School of Medicine — Vascular Therapy Research","Yale University School of Medicine","Scientific Research","$180,000","3/2019"
"Sinergia Animal — General Support (2019)","Sinergia Animal","Farm Animal Welfare","$245,000","3/2019"
"Columbia University — Beyond the Bars Conference 2019","Center for Justice at Columbia University","Criminal Justice Reform","$20,000","3/2019"
"The Humane League — Open Wing Alliance (2019)","The Humane League","Farm Animal Welfare","$1,565,000","3/2019"
"Rethink Priorities — Farm Animal Welfare Research","Rethink Priorities","Farm Animal Welfare","$200,000","3/2019"
"Jeanne Marchig Centre — Farm Animal Welfare Advocacy in China (2019)","Jeanne Marchig International Centre for Animal Welfare Education","Farm Animal Welfare","$368,188","2/2019"
"Fair and Just Prosecution — General Support (2019)","Fair and Just Prosecution","Criminal Justice Reform","$1,500,000","2/2019"
"Amistad Law Project — General Support (2019)","Amistad Law Project","Criminal Justice Reform","$25,000","2/2019"
"California Renters Legal Advocacy and Education Fund — General Support (2019)","California Renters Legal Advocacy and Education Fund","Land Use Reform","$340,000","2/2019"
"80,000 Hours — General Support (2019)","80,000 Hours","Other areas","$4,795,803","2/2019"
"Machine Intelligence Research Institute — General Support (2019)","Machine Intelligence Research Institute","Potential Risks from Advanced Artificial Intelligence","$2,652,500","2/2019"
"Centre for Effective Altruism — General Support (2019)","Centre for Effective Altruism","Other areas","$2,756,250","2/2019"
"Legal Services for Prisoners with Children — CJR Events Support ","Legal Services for Prisoners with Children","Criminal Justice Reform","$10,000","2/2019"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work (2019)","Justice Solutions","Criminal Justice Reform","$115,000","2/2019"
"UC Berkeley — Deworming and Cash Transfers (2019)","UC Berkeley","Global Health & Development","$170,000","2/2019"
"Sightline Institute - Housing and Urban Development (February 2019)","Sightline Institute","Land Use Reform","$150,000","2/2019"
"Essere Animali — Farm Animal Welfare Work in Italy ","Essere Animali","Farm Animal Welfare","$150,000","2/2019"
"The Center for Election Science — General Support (2019) ","The Center for Election Science","Other areas","$1,800,000","2/2019"
"World Animal Protection — Farm Animal Welfare Advocacy in China (2019)","World Animal Protection","Farm Animal Welfare","$1,200,000","2/2019"
"University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki) (2019)","University of Pennsylvania","Scientific Research","$660,000","2/2019"
"WildAid — Reducing Meat Consumption in Asia (2019)","WildAid","Farm Animal Welfare","$500,000","2/2019"
"We Animals — Content for Farm Animal Welfare Advocacy (2019)","We Animals","Farm Animal Welfare","$240,000","2/2019"
"University Health Network — Preterm Birth Research (2019)","University Health Network","Scientific Research","$1,134,975","2/2019"
"Princeton University — Animal Liberation","Princeton University","Farm Animal Welfare","$100,000","2/2019"
"Peterson Institute for International Economics — Macroeconomic Research Projects","Peterson Institute for International Economics","Macroeconomic Stabilization Policy","$400,000","1/2019"
"Georgetown University — Center for Security and Emerging Technology","Georgetown University","Potential Risks from Advanced Artificial Intelligence","$55,000,000","1/2019"
"Results for Development — Childhood Pneumonia Treatment Program (2019)","Results for Development","Global Health & Development","$5,605,398","1/2019"
"International Refugee Assistance Project — General Support (2019)","International Refugee Assistance Project ","Immigration Policy","$1,000,000","1/2019"
"Animal Equality — Broiler Welfare Campaigns ","Animal Equality","Farm Animal Welfare","$215,000","1/2019"
"The Humane League — Broiler Welfare Campaigns","The Humane League","Farm Animal Welfare","$750,000","1/2019"
"Royal Veterinary College — Halal Poultry Slaughter Research ","Royal Veterinary College","Farm Animal Welfare","$130,850","1/2019"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (January 2019)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$491,000","1/2019"
"Princeton University — Translation of Books on Animal Ethics ","Princeton University","Farm Animal Welfare","$170,000","1/2019"
"Mercy For Animals — Broiler Welfare Campaigns","Mercy For Animals","Farm Animal Welfare","$261,000","1/2019"
"UC Berkeley — Alternative Meats Lab (January 2019)","UC Berkeley","Farm Animal Welfare","$131,579","1/2019"
"Cynthia Schuck & Wladimir Alonso — DALY Project (2019)","Cynthia Schuck & Wladimir Alonso","Farm Animal Welfare","$100,000","1/2019"
"Farm Forward — Exit Grant","Farm Forward, Inc","Farm Animal Welfare","$166,000","1/2019"
"Center for Global Development — Gene Drive Research ","Center for Global Development","Scientific Research","$348,550","1/2019"
"Berkeley Existential Risk Initiative — CHAI ML Engineers","Berkeley Existential Risk Initiative","Potential Risks from Advanced Artificial Intelligence","$250,000","1/2019"
"University of Southern California — Social Science Genetic Association Consortium (January 2019)","University of Southern California","Scientific Research","$2,250,000","1/2019"
"Sightsavers — Deworming Programs (January 2019)","Sightsavers","Global Health & Development","$9,700,000","1/2019"
"Compassion Over Killing — Exit Grant","Compassion Over Killing","Farm Animal Welfare","$250,000","1/2019"
"Living Goods — General Support (January 2019)","Living Goods","Global Health & Development","$100,000","1/2019"
"Iodine Global Network — General Support (January 2019)","Iodine Global Network","Global Health & Development","$100,000","1/2019"
"Sherlock Biosciences — Research on Viral Diagnostics","Sherlock Biosciences","Scientific Research","$17,500,000","1/2019"
"Center for International Security and Cooperation — Megan Palmer’s Biosecurity Research (2019)","Center for International Security and Cooperation","Biosecurity and Pandemic Preparedness","$1,625,000","1/2019"
"Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2018)","Promise of Justice Initiative ","Criminal Justice Reform","$75,000","12/2018"
"Evidence Action — Dispensers for Safe Water Program (2018)","Evidence Action","Global Health & Development","$100,000","12/2018"
"Color Of Change — Criminal Justice Reform (2018)","Color Of Change","Criminal Justice Reform","$1,000,000","12/2018"
"Biosecure Ltd — Campaign Against Bioweapons Research","Biosecure Ltd","Biosecurity and Pandemic Preparedness","$25,000","12/2018"
"Helen Keller International  — Vitamin A Supplementation (December 2018)","Helen Keller International","Global Health & Development","$6,500,000","12/2018"
"The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy","The Leadership Conference on Civil and Human Rights ","Criminal Justice Reform","$200,000","12/2018"
"GiveDirectly — General Support (December 2018)","GiveDirectly","Global Health & Development","$2,500,000","12/2018"
"Working Families Party — Prosecutor Reforms in New York (2018)","Working Families Party, Inc.","Criminal Justice Reform","$109,600","12/2018"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (December 2018)","Global Alliance for Improved Nutrition","Global Health & Development","$100,000","12/2018"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2018)","Malaria Consortium ","Global Health & Development","$26,600,000","12/2018"
"Foundation for Food and Agriculture Research — Egg Tech Challenge","Foundation for Food and Agriculture Research","Farm Animal Welfare","$3,000,000","12/2018"
"Citizens for Juvenile Justice — General Support (2018)","Citizens for Juvenile Justice","Criminal Justice Reform","$75,000","12/2018"
"Georgia Institute of Technology — Biology Research (Saad Bhamla)","Georgia Institute of Technology","Scientific Research","$50,000","12/2018"
"Against Malaria Foundation — General Support (December 2018)","Against Malaria Foundation","Global Health & Development","$2,500,000","12/2018"
"gui2de — Zusha! Road Safety Campaign (December 2018)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","$100,000","12/2018"
"The University of Sydney — 2019 Global Health Security Conference","University of Sydney","Biosecurity and Pandemic Preparedness","$32,621","12/2018"
"Deworm the World Initiative — General Support (December 2018)","Evidence Action","Global Health & Development","$10,400,000","12/2018"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2018)","Smart Justice CA","Criminal Justice Reform","$25,000","12/2018"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (December 2018)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$350,000","12/2018"
"The END Fund — Deworming Programs (December 2018)","The END Fund","Global Health & Development","$2,500,000","12/2018"
"Development Media International — General Support (December 2018)","Development Media International","Global Health & Development","$100,000","12/2018"
"Food Fortification Initiative — General Support (December 2018)","Food Fortification Initiative","Global Health & Development","$100,000","12/2018"
"The Humane League — Latin America Regional Summit","The Humane League","Farm Animal Welfare","$22,000","12/2018"
"Project Healthy Children — General Support (December 2018)","Project Healthy Children","Global Health & Development","$100,000","12/2018"
"University of Minnesota, Twin Cities — Nanomaterials Research (Claudia Schmidt-Dannert)","University of Minnesota, Twin Cities","Scientific Research","$150,000","12/2018"
"Court Watch NOLA — General Support (November 2018)","Court Watch NOLA","Criminal Justice Reform","$200,000","11/2018"
"Evidence Action Beta —  Iron and Folic Acid Supplementation (""Phase 2"")","Evidence Action Beta","Global Health & Development","$3,408,259","11/2018"
"iGEM — Synthetic Biology Safety and Security (2018)","International Genetically Engineered Machine Foundation ","Biosecurity and Pandemic Preparedness","$420,000","11/2018"
"Alliance for Safety and Justice Action Fund — General Support (2018)","Alliance for Safety and Justice Action Fund","Criminal Justice Reform","$2,000,000","11/2018"
"Daniel Kang, Jacob Steinhardt, Yi Sun, and Alex Zhai — Study of the Robustness of Machine Learning Models","","Potential Risks from Advanced Artificial Intelligence","$2,351","11/2018"
"Nuclear Threat Initiative — Projects to Reduce Global Catastrophic Biological Risks","Nuclear Threat Initiative","Biosecurity and Pandemic Preparedness","$1,904,942","11/2018"
"Animal Welfare Standards Project — Chinese Animal Welfare Institute","Animal Welfare Standards Project","Farm Animal Welfare","$1,489,201","11/2018"
"University of Bern — Higher Welfare Cage-Free Systems","University of Bern","Farm Animal Welfare","$150,000","11/2018"
"Alliance for Safety and Justice — General Support (2018)","Alliance for Safety and Justice","Criminal Justice Reform","$3,000,000","11/2018"
"EicOsis Human Health, Inc. — Pain Research ","EicOsis Human Health, Inc.","Scientific Research","$5,000,000","11/2018"
"University of British Columbia — Research on Pig Welfare in China ","University of British Columbia","Farm Animal Welfare","$50,186","11/2018"
"Global Animal Partnership — Farm Animal Welfare Activities (2018)","Global Animal Partnership","Farm Animal Welfare","$500,000","11/2018"
"UC Berkeley — AI Safety Research (2018)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$1,145,000","11/2018"
"Corrections Accountability Project — General Support (2018)","Corrections Accountability Project","Criminal Justice Reform","$150,000","11/2018"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing (2018)  ","Forward Justice","Criminal Justice Reform","$150,000","11/2018"
"The Ahimsa Collective — ""Life Comes From It"" Fund Administration","The Ahimsa Collective","Criminal Justice Reform","$150,000","11/2018"
"Boston Children's Hospital — Chronic Pain Research (Yi Zhang)","Boston Children's Hospital ","Scientific Research","$1,695,376","10/2018"
"Photo Patch Foundation  — General Support","Photo Patch Foundation","Criminal Justice Reform","$10,000","10/2018"
"Momentum — Criminal Justice Reform Trainings ","Momentum","Criminal Justice Reform","$15,000","10/2018"
"Washington Center for Equitable Growth — Automatic Stabilizers Conference ","Washington Center for Equitable Growth ","Macroeconomic Stabilization Policy","$100,000","10/2018"
"Citizen Action of New York — Criminal Justice Reform Advocacy in New York State","Citizen Action of New York","Criminal Justice Reform","$266,000","10/2018"
"Chicago Community Bond Fund — Coordinator for Criminal Justice Reform Coalition","Chicago Community Bond Fund ","Criminal Justice Reform","$80,000","10/2018"
"University of Edinburgh — Scholarship Program in Applied Animal Behavior and Animal Welfare","University of Edinburgh  ","Farm Animal Welfare","$102,041","10/2018"
"Food Frontier — General Support","Food Frontier","Farm Animal Welfare","$100,000","10/2018"
"Oxford University — D.Phil Support for Andrew Snyder-Beattie","Oxford University ","Biosecurity and Pandemic Preparedness","$26,086","10/2018"
"Duke University — CRISPR-Based Epigenome Editing Tools (Charles Gersbach)","Duke University ","Scientific Research","$2,550,171","10/2018"
"University of Michigan — Support for David Manley ","University of Michigan ","Other areas","$46,696","10/2018"
"Otwarte Klatki — CARE Conference Travel Grants","Otwarte Klatki ","Farm Animal Welfare","$10,350","10/2018"
"CDC Foundation — Malaria Control Research Project (2018)","CDC Foundation","Scientific Research","$1,044,501","10/2018"
"New Virginia Majority Education Fund — Criminal Justice Reform (2018)","New Virginia Majority Education Fund","Criminal Justice Reform","$220,000","10/2018"
"UC Berkeley — Research on Drought-Tolerant Rice (Brian Staskawicz)","UC Berkeley ","Scientific Research","$200,000","10/2018"
"Oxford Uehiro Centre for Practical Ethics — Animal Sentience Workshop ","Oxford Uehiro Centre for Practical Ethics ","Farm Animal Welfare","$6,683","10/2018"
"Prevent Cruelty California — ""Yes on Prop 12"" Campaign","Prevent Cruelty California","Farm Animal Welfare","$4,000,000","10/2018"
"Community Justice Exchange — General Support ","Community Justice Exchange","Criminal Justice Reform","$250,000","9/2018"
"Better Eating International — Organizational Development ","Better Eating International","Farm Animal Welfare","$12,690","9/2018"
"Center for a New American Security — Outreach on Technological Risk Led by Richard Danzig ","Center for a New American Security","Global Catastrophic Risks","$400,352","9/2018"
"Eurogroup for Animals — Fish Welfare (2018)","Eurogroup for Animals","Farm Animal Welfare","$990,000","9/2018"
"California YIMBY — General Support (August 2018)","California YIMBY","Land Use Reform","$350,000","8/2018"
"The Humane League — General Support (2018)","The Humane League","Farm Animal Welfare","$10,000,000","8/2018"
"Real Justice PAC — Criminal Justice Reform (August 2018)","Real Justice PAC","Criminal Justice Reform","$850,000","8/2018"
"Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2018)","Fórum Nacional de Proteção e Defesa Animal","Farm Animal Welfare","$200,000","8/2018"
"Plant Based Foods Association — State-Level Policy (2018)","Plant Based Foods Association","Farm Animal Welfare","$250,000","8/2018"
"Texas Organizing Project Education Fund — Working With MOVE San Antonio Foundation","Texas Organizing Project Education Fund","Criminal Justice Reform","$56,000","8/2018"
"Griffith University — Farm Animal Welfare Advocacy in China (2018)","Griffith University ","Farm Animal Welfare","$100,000","8/2018"
"GoalsRL — Workshop on Goal Specifications for Reinforcement Learning ","GoalsRL","Potential Risks from Advanced Artificial Intelligence","$7,500","8/2018"
"UCSF — Chronic Pain Research (Allan Basbaum)","University of California, San Francisco ","Scientific Research","$1,021,318","8/2018"
"Floridians for a Fair Democracy — Ballot Committee Contribution","Floridians for a Fair Democracy","Criminal Justice Reform","$750,000","8/2018"
"Faith in Texas — Criminal Justice Reform Work","Faith in Texas","Criminal Justice Reform","$250,000","8/2018"
"Civil Rights Corps — General Support (2018) ","Civil Rights Corps","Criminal Justice Reform","$25,000","8/2018"
"Players Coalition Charitable Foundation — Criminal Justice Reform ","Players Coalition Charitable Foundation","Criminal Justice Reform","$50,000","8/2018"
"The Soze Agency — Right of Return Fellowship ","The Soze Agency ","Criminal Justice Reform","$300,000","8/2018"
"The Ladies of Hope Ministries — Hope House Project","The Ladies of Hope Ministries ","Criminal Justice Reform","$155,000","8/2018"
"American Conservative Union Foundation — Criminal Justice Reform (2018) ","American Conservative Union Foundation","Criminal Justice Reform","$212,000","8/2018"
"Aubin Pictures — Criminal Justice Media Archive ","Aubin Pictures","Criminal Justice Reform","$60,000","7/2018"
"Future of Humanity Institute — Work on Global Catastrophic Risks ","Future of Humanity Institute ","Global Catastrophic Risks","$12,250,810","7/2018"
"Economic Policy Institute — Macroeconomic Policy Research (2018)","Economic Policy Institute ","Macroeconomic Stabilization Policy","$700,000","7/2018"
"Evidence Action Beta — Incubator Program","Evidence Action Beta","Global Health & Development","$5,069,866","7/2018"
"Charity Science — Development of New Animal Welfare Charities ","Charity Science ","Farm Animal Welfare","$265,000","7/2018"
"National Family Defense Project — General Support","National Family Defense Project ","Criminal Justice Reform","$120,000","7/2018"
"Prosecutor Impact — Prosecutor Training Pilot","Prosecutor Impact ","Criminal Justice Reform","$50,000","7/2018"
"Stanford University — Machine Learning Security Research Led by Dan Boneh and Florian Tramer","Stanford University","Potential Risks from Advanced Artificial Intelligence","$100,000","7/2018"
"Center on Budget and Policy Priorities — Full Employment Project (2018)","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$250,000","7/2018"
"Wilson Center — AI Policy Seminar Series ","The Wilson Center ","Potential Risks from Advanced Artificial Intelligence","$400,000","7/2018"
"One for the World — General Support","One for the World ","Global Health & Development","$153,750","7/2018"
"New Economy Organisers Network — KIN Convenings","New Economy Organisers Network","Criminal Justice Reform","$42,285","7/2018"
"Nuclear Threat Initiative — Global Health Security Index ","Nuclear Threat Initiative","Biosecurity and Pandemic Preparedness","$3,556,773","7/2018"
"Oxford University — Research on the Global Politics of AI","Oxford University ","Potential Risks from Advanced Artificial Intelligence","$429,770","7/2018"
"Johns Hopkins Center for Health Security  — SynBioBeta 2018 Meeting ","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","$169,600","6/2018"
"GiveWell — General Support (2018)","GiveWell","Global Health & Development","$751,179","6/2018"
"Commonwealth Veterinary Association — Animal Welfare Workshop","Commonwealth Veterinary Association ","Farm Animal Welfare","$31,355","6/2018"
"Animal Equality — Corporate Animal Welfare Campaigns ","Animal Equality ","Farm Animal Welfare","$2,772,430","6/2018"
"Evidence Action Beta — Iron and Folic Acid Supplementation","Evidence Action ","Global Health & Development","$320,000","6/2018"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2018)","Workers Center for Racial Justice","Criminal Justice Reform","$125,000","6/2018"
"Future of Life Institute — General Support (2018) ","Future of Life Institute ","Global Catastrophic Risks","$250,000","6/2018"
"Compassion in World Farming — Organizational Development","Compassion in World Farming","Farm Animal Welfare","$10,720","6/2018"
"The People’s Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2018)","The People's Lobby Education Institute ","Criminal Justice Reform","$125,000","6/2018"
"Machine Intelligence Research Institute — AI Safety Retraining Program","Machine Intelligence Research Institute","Potential Risks from Advanced Artificial Intelligence","$150,000","6/2018"
"Prison Policy Initiative — General Support (2018)","Prison Policy Initiative","Criminal Justice Reform","$100,000","6/2018"
"We Got Us Now — General Support (2018) ","We Got Us Now ","Criminal Justice Reform","$100,000","6/2018"
"Centre for Effective Altruism — General Support (2018)","Centre for Effective Altruism","Other areas","$2,688,000","6/2018"
"AI Impacts — General Support (2018)","AI Impacts","Potential Risks from Advanced Artificial Intelligence","$100,000","6/2018"
"VOCAL-NY — Court Watch NYC","VOCAL-NY ","Criminal Justice Reform","$75,000","6/2018"
"Fortify Health — General Support","Fortify Health","Global Health & Development","$295,217","6/2018"
"Project NIA — Transformative Justice Work Led by Mariame Kaba","Project NIA","Criminal Justice Reform","$121,000","6/2018"
"Ohio Safe and Healthy Communities Campaign — Ohio Neighborhood Safety, Drug Treatment and Rehabilitation Amendment (May 2018)","Ohio Safe and Healthy Communities Campaign","Criminal Justice Reform","$500,000","5/2018"
"Colorado Criminal Justice Reform Coalition — General Support (2018)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$200,000","5/2018"
"Center on Budget and Policy Priorities — Automatic Stabilizers ","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$100,000","5/2018"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (May 2018)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$300,000","5/2018"
"Mercy For Animals — US Broiler Chicken Welfare Corporate Campaigns (2018)","Mercy For Animals","Farm Animal Welfare","$375,000","5/2018"
"Real Justice PAC — Criminal Justice Reform (May 2018) ","Real Justice PAC","Criminal Justice Reform","$350,000","5/2018"
"Helping Educate to Advance the Rights of Deaf Communities — General Support (2018)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","$50,000","5/2018"
"Faith in Action — Live Free Campaign (2018)","Faith in Action","Criminal Justice Reform","$800,000","5/2018"
"SPIN Academy — Communications Training","SPIN Academy","Criminal Justice Reform","$42,000","5/2018"
"Royal Society for the Prevention of Cruelty to Animals — Broiler Breed Study","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$231,677","5/2018"
"Open Phil AI Fellowship — 2018 Class","Open Phil AI Fellowship","Potential Risks from Advanced Artificial Intelligence","$1,135,000","5/2018"
"Ought — General Support (2018)","Ought","Potential Risks from Advanced Artificial Intelligence","$525,000","5/2018"
"Nick Otis — Forecasting Research","Nick Otis","Global Health & Development","$10,000","5/2018"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2018)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity and Pandemic Preparedness","$570,000","5/2018"
"Greenburger Center for Social and Criminal Justice — Criminal Justice Convening","Greenburger Center for Social and Criminal Justice","Criminal Justice Reform","$20,000","5/2018"
"Gamechanger Labs — Student Organizing Initiative (2018)","Gamechanger Labs","Criminal Justice Reform","$400,000","4/2018"
"IDinsight — Embedded GiveWell Team (2018) ","IDinsight","Global Health & Development","$1,196,729","4/2018"
"International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2018)","International Society for Applied Ethology","Farm Animal Welfare","$135,412","4/2018"
"Life Sciences Research Foundation  — Young Investigators (2018)","Life Sciences Research Foundation","Scientific Research","$780,000","4/2018"
"Changing Tastes — Market Insights and Business Engagement on Fish Welfare","Changing Tastes","Farm Animal Welfare","$50,000","4/2018"
"Project South — Criminal Justice Reform Work","Project South","Criminal Justice Reform","$50,000","4/2018"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$500,000","4/2018"
"California YIMBY — General Support (April 2018)","California YIMBY","Land Use Reform","$500,000","4/2018"
"Texas Freedom Network Education Fund — Texas Rising Program (2018)","Texas Freedom Network Education Fund","Criminal Justice Reform","$150,000","4/2018"
"Stanford University — NIPS Workshop on Machine Learning Security","Stanford University","Potential Risks from Advanced Artificial Intelligence","$6,771","4/2018"
"VasoRX — Atherosclerosis Investment","VasoRX","Scientific Research","$5,400,000","4/2018"
"Compassion in World Farming USA — General Support (2018)","Compassion in World Farming USA","Farm Animal Welfare","$1,500,000","3/2018"
"Ohio Safe and Healthy Communities Campaign — Ohio Neighborhood Safety, Drug Treatment and Rehabilitation Amendment (March 2018)","Ohio Safe and Healthy Communities Campaign","Criminal Justice Reform","$500,000","3/2018"
"Media Mobilizing Project — Criminal Justice Coalition","Media Mobilizing Project","Criminal Justice Reform","$140,000","3/2018"
"The Justice Collaborative — General Support (2018)","The Justice Collaborative","Criminal Justice Reform","$1,800,000","3/2018"
"Justice Strategies — General Support (2018)","Justice Strategies","Criminal Justice Reform","$100,000","3/2018"
"Harborlight Community Partners — YIMBYtown 2018 Conference","Harborlight Community Partners","Land Use Reform","$40,000","3/2018"
"ACTAsia — Reduce Fur Demand in Asia (2018)","ACTAsia","Farm Animal Welfare","$350,000","3/2018"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (March 2018)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$500,000","3/2018"
"Schistosomiasis Control Initiative — General Support (2018)","Schistosomiasis Control Initiative","Global Health & Development","$2,500,000","3/2018"
"Aquaculture Stewardship Council  — Organizational Development","Aquaculture Stewardship Council","Farm Animal Welfare","$13,813","3/2018"
"Centre for Effective Altruism — New Discretionary Fund","Centre for Effective Altruism","Other areas","$5,000,000","3/2018"
"Brighter Green — Farm Animal Welfare Advocacy in China (2018)","Brighter Green","Farm Animal Welfare","$430,000","3/2018"
"WildAid — Reducing Meat Consumption in Asia (2018)","WildAid","Farm Animal Welfare","$500,000","3/2018"
"Global Priorities Institute — General Support","Global Priorities Institute","Other areas","$3,112,969","2/2018"
"Center for Popular Democracy — Fed Up Campaign (2018)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$1,200,000","2/2018"
"Center for Popular Democracy Action Fund — Fed Up Campaign (2018)","Center for Popular Democracy Action Fund","Macroeconomic Stabilization Policy","$100,000","2/2018"
"Founders Pledge — General Support (2018)","Founders Pledge","Other areas","$5,222,653","2/2018"
"MIT Synthetic Neurobiology Group — Brain Mapping Research (Ed Boyden) (2018)","MIT Synthetic Neurobiology Group","Scientific Research","$3,000,000","2/2018"
"Center for Global Development — Pandemic Policy Project Led by Jeremy Konyndyk","Center for Global Development","Biosecurity and Pandemic Preparedness","$49,942","2/2018"
"Southerners On New Ground — Anti-Criminalization Work","Southerners On New Ground","Criminal Justice Reform","$400,000","2/2018"
"Columbia University — Beyond the Bars Conference 2018","Columbia University","Criminal Justice Reform","$50,000","2/2018"
"AI Scholarships — Scholarship Support (2018)","AI Scholarships","Potential Risks from Advanced Artificial Intelligence","$159,000","2/2018"
"Justice Team Network — JusticeLA Campaign","Justice Team Network","Criminal Justice Reform","$400,000","2/2018"
"Better Eating International  — Millennial Vegan Survey","Better Eating International","Farm Animal Welfare","$67,110","2/2018"
"Farm Forward — Leadership Circle (2018)","Farm Forward","Farm Animal Welfare","$165,691","2/2018"
